transect_no,site_no,site_name,year,date,distance,species1,cover1,species2,cover2,species3,cover3,species4,cover4
9,LTO8,CAVES,2017,6/28/2017,17.5,NA,0,NA,0,NA,0,NA,0
9,LTO8,CAVES,2017,6/28/2017,20,NA,0,NA,0,NA,0,NA,0
9,LTO8,CAVES,2017,6/28/2017,22.5,NA,0,NA,0,NA,0,NA,0
9,LTO8,CAVES,2017,6/28/2017,25,Porites,11,NA,0,NA,0,NA,0
10,LTO9,BATFISH,2017,6/28/2017,0,NA,0,NA,0,NA,0,NA,0
10,LTO9,BATFISH,2017,6/28/2017,2.5,Porites,44,NA,0,NA,0,NA,0
10,LTO9,BATFISH,2017,6/28/2017,5,NA,0,NA,0,NA,0,NA,0
10,LTO9,BATFISH,2017,6/28/2017,7.5,Porites,33,NA,0,NA,0,NA,0
10,LTO9,BATFISH,2017,6/28/2017,10,Platygyra,11,NA,0,NA,0,NA,0
10,LTO9,BATFISH,2017,6/28/2017,12.5,NA,0,NA,0,NA,0,NA,0
10,LTO9,BATFISH,2017,6/28/2017,15,NA,0,NA,0,NA,0,NA,0
10,LTO9,BATFISH,2017,6/28/2017,17.5,NA,0,NA,0,NA,0,NA,0
10,LTO9,BATFISH,2017,6/28/2017,20,NA,0,NA,0,NA,0,NA,0
10,LTO9,BATFISH,2017,6/28/2017,22.5,Lobophytum ,11,Favia,11,NA,0,NA,0
10,LTO9,BATFISH,2017,6/28/2017,25,NA,0,NA,0,NA,0,NA,0
11,LTO10 ,DEVILS,2017,6/29/2017,0,NA,0,NA,0,NA,0,NA,0
11,LTO10 ,DEVILS,2017,6/29/2017,2.5,Lobophytum ,16.5,Pocillopora ,5.5,NA,0,NA,0
11,LTO10 ,DEVILS,2017,6/29/2017,5,NA,0,NA,0,NA,0,NA,0
11,LTO10 ,DEVILS,2017,6/29/2017,7.5,Favia,22,Porites,33,NA,0,NA,0
11,LTO10 ,DEVILS,2017,6/29/2017,10,NA,0,NA,0,NA,0,NA,0
11,LTO10 ,DEVILS,2017,6/29/2017,12.5,NA,0,NA,0,NA,0,NA,0
11,LTO10 ,DEVILS,2017,6/29/2017,15,NA,0,NA,0,NA,0,NA,0
11,LTO10 ,DEVILS,2017,6/29/2017,17.5,NA,0,NA,0,NA,0,NA,0
11,LTO10 ,DEVILS,2017,6/29/2017,20,Porites,33,NA,0,NA,0,NA,0
11,LTO10 ,DEVILS,2017,6/29/2017,22.5,Acropora ,11,NA,0,NA,0,NA,0
11,LTO10 ,DEVILS,2017,6/29/2017,25,NA,0,NA,0,NA,0,NA,0
12,LTO13,PAO,2017,6/29/2017,0,NA,0,NA,0,NA,0,NA,0
12,LTO13,PAO,2017,6/29/2017,2.5,NA,0,NA,0,NA,0,NA,0
12,LTO13,PAO,2017,6/29/2017,5,Porites,22,NA,0,NA,0,NA,0
12,LTO13,PAO,2017,6/29/2017,7.5,NA,0,NA,0,NA,0,NA,0
12,LTO13,PAO,2017,6/29/2017,10,NA,0,NA,0,NA,0,NA,0
12,LTO13,PAO,2017,6/29/2017,12.5,NA,0,NA,0,NA,0,NA,0
12,LTO13,PAO,2017,6/29/2017,15,NA,0,NA,0,NA,0,NA,0
12,LTO13,PAO,2017,6/29/2017,17.5,NA,0,NA,0,NA,0,NA,0
12,LTO13,PAO,2017,6/29/2017,20,NA,0,NA,0,NA,0,NA,0
12,LTO13,PAO,2017,6/29/2017,22.5,NA,0,NA,0,NA,0,NA,0
12,LTO13,PAO,2017,6/29/2017,25,NA,0,NA,0,NA,0,NA,0
13,LTO10,DEVILS,2017,07/10/2017,0,NA,0,NA,0,NA,0,NA,0
13,LTO10,DEVILS,2017,07/10/2017,2.5,NA,0,NA,0,NA,0,NA,0
13,LTO10,DEVILS,2017,07/10/2017,5,NA,0,NA,0,NA,0,NA,0
13,LTO10,DEVILS,2017,07/10/2017,7.5,NA,0,NA,0,NA,0,NA,0
13,LTO10,DEVILS,2017,07/10/2017,10,NA,0,NA,0,NA,0,NA,0
13,LTO10,DEVILS,2017,07/10/2017,12.5,NA,0,NA,0,NA,0,NA,0
13,LTO10,DEVILS,2017,07/10/2017,15,NA,0,NA,0,NA,0,NA,0
13,LTO10,DEVILS,2017,07/10/2017,17.5,NA,0,NA,0,NA,0,NA,0
13,LTO10,DEVILS,2017,07/10/2017,20,NA,0,NA,0,NA,0,NA,0
13,LTO10,DEVILS,2017,07/10/2017,22.5,Sinularia,11,NA,0,NA,0,NA,0
13,LTO10,DEVILS,2017,07/10/2017,25,NA,0,NA,0,NA,0,NA,0
14,LTO13,PAO,2017,07/10/2017,0,NA,0,NA,0,NA,0,NA,0
14,LTO13,PAO,2017,07/10/2017,2.5,NA,0,NA,0,NA,0,NA,0
14,LTO13,PAO,2017,07/10/2017,5,NA,0,NA,0,NA,0,NA,0
14,LTO13,PAO,2017,07/10/2017,7.5,NA,0,NA,0,NA,0,NA,0
14,LTO13,PAO,2017,07/10/2017,10,NA,0,NA,0,NA,0,NA,0
14,LTO13,PAO,2017,07/10/2017,12.5,NA,0,NA,0,NA,0,NA,0
14,LTO13,PAO,2017,07/10/2017,15,NA,0,NA,0,NA,0,NA,0
14,LTO13,PAO,2017,07/10/2017,17.5,NA,0,NA,0,NA,0,NA,0
14,LTO13,PAO,2017,07/10/2017,20,NA,0,NA,0,NA,0,NA,0
14,LTO13,PAO,2017,07/10/2017,22.5,Sinularia,11,NA,0,NA,0,NA,0
14,LTO13,PAO,2017,07/10/2017,25,NA,0,NA,0,NA,0,NA,0
15,LTO13,PAO,2017,07/11/2017,0,NA,0,NA,0,NA,0,NA,0
15,LTO13,PAO,2017,07/11/2017,2.5,NA,0,NA,0,NA,0,NA,0
15,LTO13,PAO,2017,07/11/2017,5,NA,0,NA,0,NA,0,NA,0
15,LTO13,PAO,2017,07/11/2017,7.5,Montipora,3,NA,0,NA,0,NA,0
15,LTO13,PAO,2017,07/11/2017,10,NA,0,NA,0,NA,0,NA,0
15,LTO13,PAO,2017,07/11/2017,12.5,NA,0,NA,0,NA,0,NA,0
15,LTO13,PAO,2017,07/11/2017,15,NA,0,NA,0,NA,0,NA,0
